"ID","response","data_location","duration","confidence","reason","lineup","attempt","weight"
1,"18",18,28,5,"1_","turk11-examcorr-4",4,1
1,"8",16,110,5,"4_","turk11-examfanned-5",1,1
1,"13",13,91,5,"1_","turk11-cyclone-2",8,1
1,"10",10,29,5,"1_","turk11-dialyzernonlinear-2",2,1
1,"18",18,25,5,"1_","turk11-radontranef-2",9,1
1,"19",19,42,5,"4_","turk11-autismordered-2",3,1
1,"13",10,48,5,"1_","turk11-autismfanned2-4",5,1
1,"19",19,70,5,"1_","turk11-dialyzerheterogeneous-3",7,1
2,"16",16,44,4,"1_","turk11-examfanned-2",2,1
2,"20",20,15,4,"3_","turk11-autismordered-3",7,1
2,"10",10,26,5,"2_","turk11-dialyzernonlinear-2",3,1
2,"13",10,35,5,"1_","turk11-autismfanned2-4",1,1
2,"10",13,48,3,"23_","turk11-cyclone-4",11,0.5
2,"20",13,48,3,"23_","turk11-cyclone-4",11,0.5
2,"4",7,28,4,"3_","turk11-dialyzerheterogeneous-5",4,1
2,"18",15,23,4,"1_","turk11-radontranef-5",10,0.5
2,"10",15,23,4,"1_","turk11-radontranef-5",10,0.5
2,"4",6,26,4,"12_","turk11-examcorr-3",8,0.5
2,"19",6,26,4,"12_","turk11-examcorr-3",8,0.5
3,"10",10,121,1,"2_","turk11-dialyzerheterogeneous-2",3,0.5
3,"18",10,121,1,"2_","turk11-dialyzerheterogeneous-2",3,0.5
3,"10",10,145,1,"4_","turk11-autismordered-5",11,1
3,"16",16,273,2,"3_","turk11-examfanned-3",2,0.333333333333333
3,"15",16,273,2,"3_","turk11-examfanned-3",2,0.333333333333333
3,"4",16,273,2,"3_","turk11-examfanned-3",2,0.333333333333333
3,"13",13,344,1,"3_","turk11-cyclone-4",7,1
3,"7",16,177,1,"2_","turk11-autismfanned2-5",4,0.2
3,"9",16,177,1,"2_","turk11-autismfanned2-5",4,0.2
3,"14",16,177,1,"2_","turk11-autismfanned2-5",4,0.2
3,"19",16,177,1,"2_","turk11-autismfanned2-5",4,0.2
3,"17",16,177,1,"2_","turk11-autismfanned2-5",4,0.2
3,"3",15,101,1,"2_","turk11-examcorr-1",9,1
3,"18",18,123,1,"1_","turk11-radontranef-2",8,1
